function,class,u_variant,probability_variant_lower,p_raw,p_bonferroni,decision
1,basic,1272.5,0.5107650903498655,0.85396037113991929,1,not significant
3,basic,892.5,0.65686274509803921,3.6243066697420521e-05,0.0010510489342251952,variant better
4,basic,1529.5,0.41195693963860058,0.10632128510420269,1,not significant
5,basic,1258.5,0.51614763552479814,0.77696193544534276,1,not significant
6,basic,1234,0.52556708958093035,0.6586927872588112,1,not significant
7,basic,1136.5,0.56305267204921183,0.27384063699498828,1,not significant
8,basic,847,0.67435601691657054,0.00088776852793107054,0.025745287310001044,variant better
9,basic,1216,0.53248750480584395,0.539513219895847,1,not significant
10,basic,1168,0.55094194540561325,0.37696763008447542,1,not significant
11,hybrid,1555.5,0.40196078431372551,0.086648036680520915,1,not significant
12,hybrid,491,0.81122645136485971,6.1494476572747096e-08,1.7833398206096659e-06,variant better
13,hybrid,947,0.63590926566705108,0.018150883304416877,0.52637561582808945,not significant
14,hybrid,1238,0.52402921953094961,0.67818007627765065,1,not significant
15,hybrid,1056,0.59400230680507504,0.10246466604382465,1,not significant
16,hybrid,1176,0.54786620530565167,0.40659775045963831,1,not significant
17,hybrid,1217,0.53210303729334874,0.57855632793850398,1,not significant
18,hybrid,470,0.81930026912725873,2.7769585806671338e-08,8.053179883934688e-07,variant better
19,hybrid,1084,0.58323721645520954,0.14828247085339546,1,not significant
20,hybrid,1039,0.60053825451749332,0.08067262380210953,1,not significant
21,composition,971,0.62668204536716643,0.027535205675465364,0.79852096458849553,not significant
22,composition,972.5,0.62610534409842367,0.028323725977532164,0.82138805334843279,not significant
23,composition,1401,0.46136101499423299,0.50328658375874158,1,not significant
24,composition,1657,0.36293733179546328,0.017179048442865181,0.49819240484309024,not significant
25,composition,2465.5,0.05209534794309878,6.5074036103016558e-15,1.8871470469874802e-13,MSC-CMA-ES better
26,composition,1584.5,0.3908112264513649,0.05777605452830295,1,not significant
27,composition,1552.5,0.40311418685121103,0.091732780541070258,1,not significant
28,composition,2055,0.20991926182237597,4.498399954794344e-07,1.3045359868903597e-05,MSC-CMA-ES better
29,composition,1216,0.53248750480584395,0.57398833386902648,1,not significant
30,composition,1316,0.49404075355632449,0.92003422414936253,1,not significant
