function,class,u_variant,probability_variant_lower,p_raw,p_bonferroni,decision
1,basic,1349,0.48135332564398303,0.74802098006663198,1,not significant
3,basic,892.5,0.65686274509803921,3.6243066697420521e-05,0.0010510489342251952,variant better
4,basic,1151,0.55747789311803153,0.27535037658705475,1,not significant
5,basic,1150.5,0.55767012687427919,0.30470534500234336,1,not significant
6,basic,1245,0.52133794694348334,0.71279948826947614,1,not significant
7,basic,1381,0.4690503652441369,0.59235763654739548,1,not significant
8,basic,998.5,0.61610918877354859,0.029340149568204733,0.85086433747793722,not significant
9,basic,958,0.63168012302960408,0.0082147619091377348,0.23822809536499431,not significant
10,basic,1391.5,0.46501345636293734,0.54468421692718128,1,not significant
11,hybrid,1194,0.54094579008073818,0.47109314861470297,1,not significant
12,hybrid,1420.5,0.45386389850057673,0.42383519512322154,1,not significant
13,hybrid,1128,0.56632064590542097,0.24967231509966759,1,not significant
14,hybrid,1688,0.35101883890811225,0.0095954259844235317,0.27826735354828241,not significant
15,hybrid,1268,0.51249519415609379,0.83041711389529416,1,not significant
16,hybrid,1066,0.59015763168012303,0.11732672541835416,1,not significant
17,hybrid,1284.5,0.50615148019992318,0.91737646269665207,1,not significant
18,hybrid,1519,0.41599384851980004,0.14456230022385588,1,not significant
19,hybrid,1683,0.3529411764705882,0.010569636932016409,0.30651947102847588,not significant
20,hybrid,1231,0.52672049211841598,0.64422704120291985,1,not significant
21,composition,1351.5,0.48039215686274506,0.73530420308908651,1,not significant
22,composition,1269,0.51211072664359869,0.8355407228698869,1,not significant
23,composition,1219,0.53133410226835831,0.58772949028668742,1,not significant
24,composition,1458.5,0.43925413302575933,0.29178873788149917,1,not significant
25,composition,1358,0.47789311803152634,0.70284390513984352,1,not significant
26,composition,1465,0.43675509419454062,0.27237473244269417,1,not significant
27,composition,1362,0.4763552479815456,0.68180428352531042,1,not significant
28,composition,1493.5,0.42579777008842756,0.19761661862662039,1,not significant
29,composition,1242.5,0.52229911572472121,0.70035561728669449,1,not significant
30,composition,1267,0.512879661668589,0.82519514846503583,1,not significant
