function,class,u_variant,probability_variant_lower,p_raw,p_bonferroni,decision
1,basic,31,0.98808150711264897,1.5124675313944703e-18,4.3861558410439639e-17,lower
3,basic,867,0.66666666666666674,7.147198956769631e-06,0.00020726876974631929,lower
4,basic,586.5,0.77450980392156865,1.0856724010907245e-09,3.1484499631631009e-08,lower
5,basic,2401.5,0.076701268742791262,1.137163936805752e-13,3.2977754167366809e-12,higher
6,basic,310,0.88081507112648982,3.454186745942301e-11,1.0017141563232673e-09,lower
7,basic,1931,0.25759323337178008,2.4822710023453464e-05,0.00071985859068015049,higher
8,basic,2574.5,0.010188389081122629,8.6901814103913168e-18,2.520152609013482e-16,higher
9,basic,637.5,0.75490196078431371,6.8625401544398181e-09,1.9901366447875473e-07,lower
10,basic,2163.5,0.16820453671664748,7.8046798517652472e-09,2.2633571570119216e-07,higher
11,hybrid,2555,0.017685505574778881,3.9401593327872758e-17,1.14264620650831e-15,higher
12,hybrid,1346,0.48250672818146867,0.76326074181372738,1,not significant
13,hybrid,1392,0.46482122260668979,0.54244439926562094,1,not significant
14,hybrid,2521,0.030757400999615547,3.2116118281113449e-16,9.3136743015229005e-15,higher
15,hybrid,2399,0.077662437524029238,2.0030458734807371e-13,5.8088330330941373e-12,higher
16,hybrid,929,0.64282968089196468,0.013028312714132942,0.37782106870985532,not significant
17,hybrid,2250,0.13494809688581311,2.1339286268767162e-10,6.1883930179424773e-09,higher
18,hybrid,2004,0.22952710495963091,2.5389922961892426e-06,7.363077658948804e-05,higher
19,hybrid,2343,0.099192618223760132,3.0849026217247289e-12,8.946217603001714e-11,higher
20,hybrid,2402,0.0765090349865436,1.7233765839124495e-13,4.9977920933461033e-12,higher
21,composition,1396,0.46328335255670894,0.52442211729587074,1,not significant
22,composition,2034,0.2179930795847751,9.2557042680479147e-07,2.6841542377338953e-05,higher
23,composition,1517,0.41676278354479046,0.14825953059728586,1,not significant
24,composition,2562.5,0.014801999231064955,3.0874398778396909e-17,8.953575645735103e-16,higher
25,composition,2477,0.047673971549404115,3.3660544791965258e-15,9.761557989669925e-14,higher
26,composition,2483,0.045367166474432952,2.5381202525640033e-15,7.360548732435609e-14,higher
27,composition,1679.5,0.35428681276432139,0.01101557464688268,0.31945166475959769,not significant
28,composition,2315.5,0.10976547481737797,1.1174528722911214e-11,3.2406133296442521e-10,higher
29,composition,2499,0.039215686274509776,1.0760037474761463e-15,3.1204108676808244e-14,higher
30,composition,1489,0.42752787389465585,0.2083089570993979,1,not significant
