func,n_runs,maxevals,mean,median,std,best,worst,elapsed_sec
f1,51,100000,3.065086311122001e-15,0.0,5.844890260927208e-15,0.0,1.4210854715202004e-14,26.5
f2,51,100000,8.357097149379187e-12,5.6274984672199935e-12,7.874403657199552e-12,7.958078640513122e-13,4.4508396968012676e-11,28.9
f3,51,100000,0.0,0.0,0.0,0.0,0.0,27.1
f4,51,100000,0.0,0.0,0.0,0.0,0.0,24.6
f5,51,100000,4.542969156799984,4.9747952854664845,1.4997205470415937,1.9899181141865938,7.959667418927268,25.5
f6,51,100000,0.0005884381602986561,0.00020918939935654635,0.0014558951404251006,5.708915182367491e-06,0.009847695605685658,24.8
f7,51,100000,12.181877998272633,12.731307930912749,2.991783010166237,5.605483236719124,17.193555834581957,22.6
f8,51,100000,4.818722387483782,4.9747952854664845,1.4661622453331102,1.9899181141865938,8.954626476020621,24.7
f9,51,100000,0.0,0.0,0.0,0.0,0.0,24.2
f10,51,100000,201.81878551715926,153.42727464140307,138.0067096559964,0.31227220519394905,537.3251114196787,29.1
f11,51,100000,4.29942684435081,4.974790247647434,2.4740950317606725,0.0,13.92939148913456,27.3
f12,51,100000,122.56625333379445,129.6112896986126,104.59555852579432,0.20814298464574676,470.2277876256444,27.4
f13,51,100000,7.423829414529939,6.521110318352385,4.647979399759165,0.9949590570934106,20.320857438799976,27.6
f14,51,100000,21.064586890470032,22.963182377160592,7.682471106325044,1.9899181141875033,34.98795523955323,28.4
f15,51,100000,8.389250633847139,6.458477022526267,6.241320080219537,1.3512167532712738,29.918936288221403,29.1
f16,51,100000,6.4589369315560505,1.4981591216289871,17.8953112246809,0.785877243627283,120.19885001111743,30.1
f17,51,100000,28.096466953583285,26.468585136163256,6.028742449169435,16.009814764583098,50.68661108411857,27.4
f18,51,100000,23.471318187669414,22.590791442320324,9.714733203417275,1.0785189952564451,69.3341997112218,29.5
f19,51,100000,5.304484272110861,4.965327437224914,2.7698676354038314,2.5089423099682335,21.538831070736478,29.7
f20,51,100000,24.45435003754333,24.292003758059536,6.625685737309507,5.59913680978616,45.52880150687042,28.3
