suite,dimension,budget,scope,position_average,position_min,position_max,position_label,position_interval,tie_size,dense_group,algorithm,rank_sum2,mean_dsc_rank,k,n_functions,omnibus_method,omnibus_statistic,omnibus_p_value,omnibus_message,dsc_status,posthoc_control,posthoc_holm_p
cec2014,10,100000,all,1.0,1,1,1/7,1/7,1,1,jSO,182,3.033333333333333,7,30,friedman,26.46071428571428,0.0001826711054435659,The null hypothesis is rejected.,,,
cec2014,10,100000,all,2.0,2,2,2/7,2/7,1,2,ARRDE,193,3.216666666666667,7,30,friedman,26.46071428571428,0.0001826711054435659,The null hypothesis is rejected.,,,
cec2014,10,100000,all,3.0,3,3,3/7,3/7,1,3,LSRTDE,200,3.3333333333333335,7,30,friedman,26.46071428571428,0.0001826711054435659,The null hypothesis is rejected.,,,
cec2014,10,100000,all,4.0,4,4,4/7,4/7,1,4,NLSHADE-RSP,236,3.933333333333333,7,30,friedman,26.46071428571428,0.0001826711054435659,The null hypothesis is rejected.,,,
cec2014,10,100000,all,5.0,5,5,5/7,5/7,1,5,MSC-CMA,283,4.716666666666667,7,30,friedman,26.46071428571428,0.0001826711054435659,The null hypothesis is rejected.,,,
cec2014,10,100000,all,6.0,6,6,6/7,6/7,1,6,BIPOP-CMA,284,4.733333333333333,7,30,friedman,26.46071428571428,0.0001826711054435659,The null hypothesis is rejected.,,,
cec2014,10,100000,all,7.0,7,7,7/7,7/7,1,7,j2020,302,5.033333333333333,7,30,friedman,26.46071428571428,0.0001826711054435659,The null hypothesis is rejected.,,,
cec2014,10,100000,composition,1.0,1,1,1/7,1/7,1,1,ARRDE,41,2.5625,7,8,friedman,13.111607142857142,0.04129745783103189,The null hypothesis is rejected.,,,
cec2014,10,100000,composition,2.0,2,2,2/7,2/7,1,2,MSC-CMA,42,2.625,7,8,friedman,13.111607142857142,0.04129745783103189,The null hypothesis is rejected.,,,
cec2014,10,100000,composition,3.0,3,3,3/7,3/7,1,3,NLSHADE-RSP,58,3.625,7,8,friedman,13.111607142857142,0.04129745783103189,The null hypothesis is rejected.,,,
cec2014,10,100000,composition,4.0,4,4,4/7,4/7,1,4,jSO,66,4.125,7,8,friedman,13.111607142857142,0.04129745783103189,The null hypothesis is rejected.,,,
cec2014,10,100000,composition,5.0,5,5,5/7,5/7,1,5,LSRTDE,72,4.5,7,8,friedman,13.111607142857142,0.04129745783103189,The null hypothesis is rejected.,,,
cec2014,10,100000,composition,6.0,6,6,6/7,6/7,1,6,BIPOP-CMA,84,5.25,7,8,friedman,13.111607142857142,0.04129745783103189,The null hypothesis is rejected.,,,
cec2014,10,100000,composition,7.0,7,7,7/7,7/7,1,7,j2020,85,5.3125,7,8,friedman,13.111607142857142,0.04129745783103189,The null hypothesis is rejected.,,,
cec2014,10,1000000,all,1.0,1,1,1/7,1/7,1,1,ARRDE,147,2.45,7,30,friedman,27.20714285714284,0.00013242311877936785,The null hypothesis is rejected.,,,
cec2014,10,1000000,all,2.0,2,2,2/7,2/7,1,2,NLSHADE-RSP,214,3.566666666666667,7,30,friedman,27.20714285714284,0.00013242311877936785,The null hypothesis is rejected.,,,
cec2014,10,1000000,all,3.0,3,3,3/7,3/7,1,3,jSO,232,3.8666666666666667,7,30,friedman,27.20714285714284,0.00013242311877936785,The null hypothesis is rejected.,,,
cec2014,10,1000000,all,4.0,4,4,4/7,4/7,1,4,j2020,243,4.05,7,30,friedman,27.20714285714284,0.00013242311877936785,The null hypothesis is rejected.,,,
cec2014,10,1000000,all,5.0,5,5,5/7,5/7,1,5,MSC-CMA,265,4.416666666666667,7,30,friedman,27.20714285714284,0.00013242311877936785,The null hypothesis is rejected.,,,
cec2014,10,1000000,all,6.0,6,6,6/7,6/7,1,6,BIPOP-CMA,277,4.616666666666666,7,30,friedman,27.20714285714284,0.00013242311877936785,The null hypothesis is rejected.,,,
cec2014,10,1000000,all,7.0,7,7,7/7,7/7,1,7,LSRTDE,302,5.033333333333333,7,30,friedman,27.20714285714284,0.00013242311877936785,The null hypothesis is rejected.,,,
cec2014,10,1000000,composition,1.0,1,1,1/7,1/7,1,1,ARRDE,28,1.75,7,8,friedman,25.285714285714285,0.00030226276138733965,The null hypothesis is rejected.,,,
cec2014,10,1000000,composition,2.0,2,2,2/7,2/7,1,2,MSC-CMA,35,2.1875,7,8,friedman,25.285714285714285,0.00030226276138733965,The null hypothesis is rejected.,,,
cec2014,10,1000000,composition,3.0,3,3,3/7,3/7,1,3,NLSHADE-RSP,62,3.875,7,8,friedman,25.285714285714285,0.00030226276138733965,The null hypothesis is rejected.,,,
cec2014,10,1000000,composition,4.0,4,4,4/7,4/7,1,4,j2020,64,4.0,7,8,friedman,25.285714285714285,0.00030226276138733965,The null hypothesis is rejected.,,,
cec2014,10,1000000,composition,5.0,5,5,5/7,5/7,1,5,BIPOP-CMA,77,4.8125,7,8,friedman,25.285714285714285,0.00030226276138733965,The null hypothesis is rejected.,,,
cec2014,10,1000000,composition,6.0,6,6,6/7,6/7,1,6,jSO,89,5.5625,7,8,friedman,25.285714285714285,0.00030226276138733965,The null hypothesis is rejected.,,,
cec2014,10,1000000,composition,7.0,7,7,7/7,7/7,1,7,LSRTDE,93,5.8125,7,8,friedman,25.285714285714285,0.00030226276138733965,The null hypothesis is rejected.,,,
cec2014,30,300000,all,1.0,1,1,1/7,1/7,1,1,LSRTDE,152,2.533333333333333,7,30,friedman,60.421428571428585,3.695532768688281e-11,The null hypothesis is rejected.,,,
cec2014,30,300000,all,2.0,2,2,2/7,2/7,1,2,jSO,168,2.8,7,30,friedman,60.421428571428585,3.695532768688281e-11,The null hypothesis is rejected.,,,
cec2014,30,300000,all,3.0,3,3,3/7,3/7,1,3,ARRDE,185,3.0833333333333335,7,30,friedman,60.421428571428585,3.695532768688281e-11,The null hypothesis is rejected.,,,
cec2014,30,300000,all,4.0,4,4,4/7,4/7,1,4,BIPOP-CMA,233,3.8833333333333333,7,30,friedman,60.421428571428585,3.695532768688281e-11,The null hypothesis is rejected.,,,
cec2014,30,300000,all,5.0,5,5,5/7,5/7,1,5,MSC-CMA,288,4.8,7,30,friedman,60.421428571428585,3.695532768688281e-11,The null hypothesis is rejected.,,,
cec2014,30,300000,all,6.0,6,6,6/7,6/7,1,6,NLSHADE-RSP,313,5.216666666666667,7,30,friedman,60.421428571428585,3.695532768688281e-11,The null hypothesis is rejected.,,,
cec2014,30,300000,all,7.0,7,7,7/7,7/7,1,7,j2020,341,5.683333333333334,7,30,friedman,60.421428571428585,3.695532768688281e-11,The null hypothesis is rejected.,,,
cec2014,30,300000,composition,1.0,1,1,1/7,1/7,1,1,LSRTDE,29,1.8125,7,8,friedman,25.660714285714285,0.00025748269806680213,The null hypothesis is rejected.,,,
cec2014,30,300000,composition,2.0,2,2,2/7,2/7,1,2,jSO,46,2.875,7,8,friedman,25.660714285714285,0.00025748269806680213,The null hypothesis is rejected.,,,
cec2014,30,300000,composition,3.0,3,3,3/7,3/7,1,3,ARRDE,49,3.0625,7,8,friedman,25.660714285714285,0.00025748269806680213,The null hypothesis is rejected.,,,
cec2014,30,300000,composition,4.5,4,5,4.5/7,4-5/7 (tie),2,4,BIPOP-CMA,66,4.125,7,8,friedman,25.660714285714285,0.00025748269806680213,The null hypothesis is rejected.,,,
cec2014,30,300000,composition,4.5,4,5,4.5/7,4-5/7 (tie),2,4,MSC-CMA,66,4.125,7,8,friedman,25.660714285714285,0.00025748269806680213,The null hypothesis is rejected.,,,
cec2014,30,300000,composition,6.0,6,6,6/7,6/7,1,5,NLSHADE-RSP,95,5.9375,7,8,friedman,25.660714285714285,0.00025748269806680213,The null hypothesis is rejected.,,,
cec2014,30,300000,composition,7.0,7,7,7/7,7/7,1,6,j2020,97,6.0625,7,8,friedman,25.660714285714285,0.00025748269806680213,The null hypothesis is rejected.,,,
cec2014,30,1000000,all,1.0,1,1,1/7,1/7,1,1,LSRTDE,164,2.7333333333333334,7,30,friedman,58.88214285714278,7.590383876987516e-11,The null hypothesis is rejected.,,,
cec2014,30,1000000,all,2.0,2,2,2/7,2/7,1,2,jSO,177,2.95,7,30,friedman,58.88214285714278,7.590383876987516e-11,The null hypothesis is rejected.,,,
cec2014,30,1000000,all,3.0,3,3,3/7,3/7,1,3,ARRDE,181,3.0166666666666666,7,30,friedman,58.88214285714278,7.590383876987516e-11,The null hypothesis is rejected.,,,
cec2014,30,1000000,all,4.0,4,4,4/7,4/7,1,4,BIPOP-CMA,216,3.6,7,30,friedman,58.88214285714278,7.590383876987516e-11,The null hypothesis is rejected.,,,
cec2014,30,1000000,all,5.0,5,5,5/7,5/7,1,5,MSC-CMA,276,4.6,7,30,friedman,58.88214285714278,7.590383876987516e-11,The null hypothesis is rejected.,,,
cec2014,30,1000000,all,6.0,6,6,6/7,6/7,1,6,NLSHADE-RSP,316,5.266666666666667,7,30,friedman,58.88214285714278,7.590383876987516e-11,The null hypothesis is rejected.,,,
cec2014,30,1000000,all,7.0,7,7,7/7,7/7,1,7,j2020,350,5.833333333333333,7,30,friedman,58.88214285714278,7.590383876987516e-11,The null hypothesis is rejected.,,,
cec2014,30,1000000,composition,1.0,1,1,1/7,1/7,1,1,LSRTDE,38,2.375,7,8,friedman,22.004464285714285,0.0012086198904378564,The null hypothesis is rejected.,,,
cec2014,30,1000000,composition,2.0,2,2,2/7,2/7,1,2,ARRDE,47,2.9375,7,8,friedman,22.004464285714285,0.0012086198904378564,The null hypothesis is rejected.,,,
cec2014,30,1000000,composition,3.5,3,4,3.5/7,3-4/7 (tie),2,3,BIPOP-CMA,54,3.375,7,8,friedman,22.004464285714285,0.0012086198904378564,The null hypothesis is rejected.,,,
cec2014,30,1000000,composition,3.5,3,4,3.5/7,3-4/7 (tie),2,3,jSO,54,3.375,7,8,friedman,22.004464285714285,0.0012086198904378564,The null hypothesis is rejected.,,,
cec2014,30,1000000,composition,5.0,5,5,5/7,5/7,1,4,MSC-CMA,62,3.875,7,8,friedman,22.004464285714285,0.0012086198904378564,The null hypothesis is rejected.,,,
cec2014,30,1000000,composition,6.0,6,6,6/7,6/7,1,5,NLSHADE-RSP,95,5.9375,7,8,friedman,22.004464285714285,0.0012086198904378564,The null hypothesis is rejected.,,,
cec2014,30,1000000,composition,7.0,7,7,7/7,7/7,1,6,j2020,98,6.125,7,8,friedman,22.004464285714285,0.0012086198904378564,The null hypothesis is rejected.,,,
cec2017,10,100000,all,1.0,1,1,1/7,1/7,1,1,ARRDE,203,3.5,7,29,friedman,5.933497536945886,0.43068087587949355,The null hypothesis is not rejected.,O,,
cec2017,10,100000,all,2.0,2,2,2/7,2/7,1,2,jSO,215,3.706896551724138,7,29,friedman,5.933497536945886,0.43068087587949355,The null hypothesis is not rejected.,O,,
cec2017,10,100000,all,3.0,3,3,3/7,3/7,1,3,NLSHADE-RSP,218,3.7586206896551726,7,29,friedman,5.933497536945886,0.43068087587949355,The null hypothesis is not rejected.,O,,
cec2017,10,100000,all,4.0,4,4,4/7,4/7,1,4,LSRTDE,225,3.8793103448275863,7,29,friedman,5.933497536945886,0.43068087587949355,The null hypothesis is not rejected.,O,,
cec2017,10,100000,all,5.0,5,5,5/7,5/7,1,5,MSC-CMA,244,4.206896551724138,7,29,friedman,5.933497536945886,0.43068087587949355,The null hypothesis is not rejected.,O,,
cec2017,10,100000,all,6.0,6,6,6/7,6/7,1,6,BIPOP-CMA,250,4.310344827586207,7,29,friedman,5.933497536945886,0.43068087587949355,The null hypothesis is not rejected.,O,,
cec2017,10,100000,all,7.0,7,7,7/7,7/7,1,7,j2020,269,4.637931034482759,7,29,friedman,5.933497536945886,0.43068087587949355,The null hypothesis is not rejected.,O,,
cec2017,10,100000,composition,1.0,1,1,1/7,1/7,1,1,MSC-CMA,39,1.95,7,10,friedman,28.971428571428593,6.15990417986989e-05,The null hypothesis is rejected.,★,MSC-CMA,
cec2017,10,100000,composition,2.0,2,2,2/7,2/7,1,2,ARRDE,56,2.8,7,10,friedman,28.971428571428593,6.15990417986989e-05,The null hypothesis is rejected.,★,MSC-CMA,0.3006229881969068
cec2017,10,100000,composition,3.0,3,3,3/7,3/7,1,3,NLSHADE-RSP,59,2.95,7,10,friedman,28.971428571428593,6.15990417986989e-05,The null hypothesis is rejected.,★,MSC-CMA,0.3006229881969068
cec2017,10,100000,composition,4.0,4,4,4/7,4/7,1,4,j2020,84,4.2,7,10,friedman,28.971428571428593,6.15990417986989e-05,The null hypothesis is rejected.,★,MSC-CMA,0.029790882214076983
cec2017,10,100000,composition,5.0,5,5,5/7,5/7,1,5,BIPOP-CMA,90,4.5,7,10,friedman,28.971428571428593,6.15990417986989e-05,The null hypothesis is rejected.,★,MSC-CMA,0.01660564719593575
cec2017,10,100000,composition,6.0,6,6,6/7,6/7,1,6,jSO,115,5.75,7,10,friedman,28.971428571428593,6.15990417986989e-05,The null hypothesis is rejected.,★,MSC-CMA,0.00020940465954145523
cec2017,10,100000,composition,7.0,7,7,7/7,7/7,1,7,LSRTDE,117,5.85,7,10,friedman,28.971428571428593,6.15990417986989e-05,The null hypothesis is rejected.,★,MSC-CMA,0.00016249783310966838
