suite,dimension,budget,function_id,problem,algorithm,dsc_rank,dsc_rank2
cec2020,15,3000000,1,F1_15D,ARRDE,2.5,5
cec2020,15,3000000,1,F1_15D,BIPOP-CMA,2.5,5
cec2020,15,3000000,1,F1_15D,LSRTDE,2.5,5
cec2020,15,3000000,1,F1_15D,MSC-CMA,5.0,10
cec2020,15,3000000,1,F1_15D,NLSHADE-RSP,7.0,14
cec2020,15,3000000,1,F1_15D,j2020,6.0,12
cec2020,15,3000000,1,F1_15D,jSO,2.5,5
cec2020,15,3000000,2,F2_15D,ARRDE,2.0,4
cec2020,15,3000000,2,F2_15D,BIPOP-CMA,5.0,10
cec2020,15,3000000,2,F2_15D,LSRTDE,6.0,12
cec2020,15,3000000,2,F2_15D,MSC-CMA,4.0,8
cec2020,15,3000000,2,F2_15D,NLSHADE-RSP,3.0,6
cec2020,15,3000000,2,F2_15D,j2020,1.0,2
cec2020,15,3000000,2,F2_15D,jSO,7.0,14
cec2020,15,3000000,3,F3_15D,ARRDE,5.0,10
cec2020,15,3000000,3,F3_15D,BIPOP-CMA,1.0,2
cec2020,15,3000000,3,F3_15D,LSRTDE,6.0,12
cec2020,15,3000000,3,F3_15D,MSC-CMA,2.0,4
cec2020,15,3000000,3,F3_15D,NLSHADE-RSP,4.0,8
cec2020,15,3000000,3,F3_15D,j2020,3.0,6
cec2020,15,3000000,3,F3_15D,jSO,7.0,14
cec2020,15,3000000,4,F4_15D,ARRDE,4.0,8
cec2020,15,3000000,4,F4_15D,BIPOP-CMA,5.0,10
cec2020,15,3000000,4,F4_15D,LSRTDE,6.0,12
cec2020,15,3000000,4,F4_15D,MSC-CMA,7.0,14
cec2020,15,3000000,4,F4_15D,NLSHADE-RSP,1.0,2
cec2020,15,3000000,4,F4_15D,j2020,2.0,4
cec2020,15,3000000,4,F4_15D,jSO,3.0,6
cec2020,15,3000000,5,F5_15D,ARRDE,1.5,3
cec2020,15,3000000,5,F5_15D,BIPOP-CMA,1.5,3
cec2020,15,3000000,5,F5_15D,LSRTDE,3.5,7
cec2020,15,3000000,5,F5_15D,MSC-CMA,3.5,7
cec2020,15,3000000,5,F5_15D,NLSHADE-RSP,6.5,13
cec2020,15,3000000,5,F5_15D,j2020,6.5,13
cec2020,15,3000000,5,F5_15D,jSO,5.0,10
cec2020,15,3000000,6,F6_15D,ARRDE,3.0,6
cec2020,15,3000000,6,F6_15D,BIPOP-CMA,4.0,8
cec2020,15,3000000,6,F6_15D,LSRTDE,5.0,10
cec2020,15,3000000,6,F6_15D,MSC-CMA,6.0,12
cec2020,15,3000000,6,F6_15D,NLSHADE-RSP,1.0,2
cec2020,15,3000000,6,F6_15D,j2020,7.0,14
cec2020,15,3000000,6,F6_15D,jSO,2.0,4
cec2020,15,3000000,7,F7_15D,ARRDE,3.0,6
cec2020,15,3000000,7,F7_15D,BIPOP-CMA,5.5,11
cec2020,15,3000000,7,F7_15D,LSRTDE,7.0,14
cec2020,15,3000000,7,F7_15D,MSC-CMA,4.0,8
cec2020,15,3000000,7,F7_15D,NLSHADE-RSP,1.5,3
cec2020,15,3000000,7,F7_15D,j2020,1.5,3
cec2020,15,3000000,7,F7_15D,jSO,5.5,11
cec2020,15,3000000,8,F8_15D,ARRDE,4.0,8
cec2020,15,3000000,8,F8_15D,BIPOP-CMA,5.0,10
cec2020,15,3000000,8,F8_15D,LSRTDE,6.0,12
cec2020,15,3000000,8,F8_15D,MSC-CMA,1.0,2
cec2020,15,3000000,8,F8_15D,NLSHADE-RSP,2.0,4
cec2020,15,3000000,8,F8_15D,j2020,3.0,6
cec2020,15,3000000,8,F8_15D,jSO,7.0,14
cec2020,15,3000000,9,F9_15D,ARRDE,3.0,6
cec2020,15,3000000,9,F9_15D,BIPOP-CMA,5.0,10
cec2020,15,3000000,9,F9_15D,LSRTDE,7.0,14
cec2020,15,3000000,9,F9_15D,MSC-CMA,1.0,2
cec2020,15,3000000,9,F9_15D,NLSHADE-RSP,2.0,4
cec2020,15,3000000,9,F9_15D,j2020,4.0,8
cec2020,15,3000000,9,F9_15D,jSO,6.0,12
cec2020,15,3000000,10,F10_15D,ARRDE,2.0,4
cec2020,15,3000000,10,F10_15D,BIPOP-CMA,3.5,7
cec2020,15,3000000,10,F10_15D,LSRTDE,6.0,12
cec2020,15,3000000,10,F10_15D,MSC-CMA,1.0,2
cec2020,15,3000000,10,F10_15D,NLSHADE-RSP,6.0,12
cec2020,15,3000000,10,F10_15D,j2020,3.5,7
cec2020,15,3000000,10,F10_15D,jSO,6.0,12
