suite,dimension,budget,scope,best_algorithm,best_mean_dsc_rank,msc_position,msc_position_interval,msc_mean_dsc_rank,k,n_functions,friedman_statistic,friedman_p_value,holm_p_best_vs_msc,label
cec2014,10,100000,all,jSO,3.033333333333333,5/7,5/7,4.716666666666667,7,30,26.46071428571428,0.0001826711054435659,0.005762450494775256,↓
cec2014,10,100000,composition,ARRDE,2.5625,2/7,2/7,2.625,7,8,13.111607142857142,0.04129745783103189,0.4769285765308018,≈
cec2014,10,1000000,all,ARRDE,2.45,5/7,5/7,4.416666666666667,7,30,27.20714285714284,0.00013242311877936785,0.0008440148411102593,↓
cec2014,10,1000000,composition,ARRDE,1.75,2/7,2/7,2.1875,7,8,25.285714285714285,0.00030226276138733965,0.3427217413387611,≈
cec2014,30,300000,all,LSRTDE,2.533333333333333,5/7,5/7,4.8,7,30,60.421428571428585,3.695532768688281e-11,9.65698058523325e-05,↓
cec2014,30,300000,composition,LSRTDE,1.8125,4.5/7,4-5/7 (tie),4.125,7,8,25.660714285714285,0.00025748269806680213,0.06455469218959409,≈
cec2014,30,1000000,all,LSRTDE,2.7333333333333334,5/7,5/7,4.6,7,30,58.88214285714278,7.590383876987516e-11,0.0016359466399888012,↓
cec2014,30,1000000,composition,LSRTDE,2.375,5/7,5/7,3.875,7,8,22.004464285714285,0.0012086198904378564,0.32982964510660273,≈
cec2017,10,100000,all,ARRDE,3.5,5/7,5/7,4.206896551724138,7,29,5.933497536945886,0.43068087587949355,,O
cec2017,10,100000,composition,MSC-CMA,1.95,1/7,1/7,1.95,7,10,28.971428571428593,6.15990417986989e-05,,★
cec2017,10,1000000,all,NLSHADE-RSP,2.896551724137931,4.5/7,4-5/7 (tie),4.327586206896552,7,29,27.753694581280776,0.00010454697635864374,0.023304969171518516,↓
cec2017,10,1000000,composition,MSC-CMA,2.3,1/7,1/7,2.3,7,10,27.23571428571427,0.00013079914752478494,,★
cec2017,30,300000,all,LSRTDE,2.0172413793103448,5/7,5/7,4.482758620689655,7,29,69.87931034482753,4.3287595730134854e-13,2.772986333342942e-05,↓
cec2017,30,300000,composition,LSRTDE,2.15,5/7,5/7,4.45,7,10,24.546428571428567,0.00041418187795660977,0.03455710032966445,↓
cec2017,30,1000000,all,LSRTDE,2.1551724137931036,4/7,4/7,3.7241379310344827,7,29,60.694581280788185,3.251998670350531e-11,0.008521954621224185,↓
cec2017,30,1000000,composition,LSRTDE,2.9,3/7,3/7,3.35,7,10,13.692857142857143,0.033261766370630386,0.641362779443432,≈
cec2020,5,50000,all,NLSHADE-RSP,2.1,5/7,5/7,4.15,7,10,23.27142857142857,0.0007104846633527728,0.06768360615023468,≈
cec2020,5,50000,composition,MSC-CMA,2.0,1/7,1/7,2.0,7,3,11.285714285714297,0.07993740596072918,,O
cec2020,5,1000000,all,j2020,3.05,5/7,5/7,4.3,7,10,15.867857142857146,0.014481081961988163,0.40574625331427194,≈
cec2020,5,1000000,composition,MSC-CMA,2.0,1/7,1/7,2.0,7,3,10.678571428571413,0.09883323846067693,,O
cec2020,10,1000000,all,j2020,2.65,3/7,3/7,3.3,7,10,17.528571428571443,0.007524912818037799,0.7030748736693107,≈
cec2020,10,1000000,composition,MSC-CMA,1.0,1/7,1/7,1.0,7,3,16.32142857142857,0.012128862935231521,,★
cec2020,10,20000000,all,ARRDE,2.05,4/7,4/7,3.95,7,10,24.90000000000001,0.0003563217827233789,0.07382898676408675,≈
cec2020,10,20000000,composition,MSC-CMA,1.6666666666666667,1/7,1/7,1.6666666666666667,7,3,13.357142857142854,0.03770233395741718,,★
cec2020,15,3000000,all,ARRDE,3.0,3/7,3/7,3.45,7,10,11.196428571428559,0.08249200323648875,,O
cec2020,15,3000000,composition,MSC-CMA,1.0,1/7,1/7,1.0,7,3,14.035714285714274,0.02923974990694289,,★
cec2020,20,10000000,all,ARRDE,2.55,4/7,4/7,4.25,7,10,10.382142857142854,0.10945441068153938,,O
cec2020,20,10000000,composition,ARRDE,1.5,3/7,3/7,2.6666666666666665,7,3,13.214285714285726,0.0397565045489241,0.5083315735521454,≈
cec2022,10,200000,all,ARRDE,2.9583333333333335,6/7,6/7,4.583333333333333,7,12,10.964285714285706,0.08948651699308008,,O
cec2022,10,200000,composition,NLSHADE-RSP,2.75,4/7,4/7,3.625,7,4,7.955357142857142,0.24139224050770292,,O
cec2022,10,1000000,all,ARRDE,2.9583333333333335,5/7,5/7,4.583333333333333,7,12,10.33928571428574,0.11107206089004662,,O
cec2022,10,1000000,composition,j2020,2.5,4/7,4/7,4.125,7,4,8.464285714285714,0.20602241117692088,,O
cec2022,20,1000000,all,LSRTDE,3.0833333333333335,4/7,4/7,3.75,7,12,9.116071428571422,0.1671547591425162,,O
cec2022,20,1000000,composition,MSC-CMA,3.125,1/7,1/7,3.125,7,4,1.6339285714285714,0.9501072586861202,,O
