suite,dimension,budget,all_best_algorithm,all_msc_position,all_friedman_p_value,all_holm_p_best_vs_msc,all_label,composition_best_algorithm,composition_msc_position,composition_friedman_p_value,composition_holm_p_best_vs_msc,composition_label
cec2014,10,100000,jSO,5/7,0.0001826711054435659,0.005762450494775256,↓,ARRDE,2/7,0.04129745783103189,0.4769285765308018,≈
cec2014,10,1000000,ARRDE,5/7,0.00013242311877936785,0.0008440148411102593,↓,ARRDE,2/7,0.00030226276138733965,0.3427217413387611,≈
cec2014,30,300000,LSRTDE,5/7,3.695532768688281e-11,9.65698058523325e-05,↓,LSRTDE,4.5/7,0.00025748269806680213,0.06455469218959409,≈
cec2014,30,1000000,LSRTDE,5/7,7.590383876987516e-11,0.0016359466399888012,↓,LSRTDE,5/7,0.0012086198904378564,0.32982964510660273,≈
cec2017,10,100000,ARRDE,5/7,0.43068087587949355,,O,MSC-CMA,1/7,6.15990417986989e-05,,★
cec2017,10,1000000,NLSHADE-RSP,4.5/7,0.00010454697635864374,0.023304969171518516,↓,MSC-CMA,1/7,0.00013079914752478494,,★
cec2017,30,300000,LSRTDE,5/7,4.3287595730134854e-13,2.772986333342942e-05,↓,LSRTDE,5/7,0.00041418187795660977,0.03455710032966445,↓
cec2017,30,1000000,LSRTDE,4/7,3.251998670350531e-11,0.008521954621224185,↓,LSRTDE,3/7,0.033261766370630386,0.641362779443432,≈
cec2020,5,50000,NLSHADE-RSP,5/7,0.0007104846633527728,0.06768360615023468,≈,MSC-CMA,1/7,0.07993740596072918,,O
cec2020,5,1000000,j2020,5/7,0.014481081961988163,0.40574625331427194,≈,MSC-CMA,1/7,0.09883323846067693,,O
cec2020,10,1000000,j2020,3/7,0.007524912818037799,0.7030748736693107,≈,MSC-CMA,1/7,0.012128862935231521,,★
cec2020,10,20000000,ARRDE,4/7,0.0003563217827233789,0.07382898676408675,≈,MSC-CMA,1/7,0.03770233395741718,,★
cec2020,15,3000000,ARRDE,3/7,0.08249200323648875,,O,MSC-CMA,1/7,0.02923974990694289,,★
cec2020,20,10000000,ARRDE,4/7,0.10945441068153938,,O,ARRDE,3/7,0.0397565045489241,0.5083315735521454,≈
cec2022,10,200000,ARRDE,6/7,0.08948651699308008,,O,NLSHADE-RSP,4/7,0.24139224050770292,,O
cec2022,10,1000000,ARRDE,5/7,0.11107206089004662,,O,j2020,4/7,0.20602241117692088,,O
cec2022,20,1000000,LSRTDE,4/7,0.1671547591425162,,O,MSC-CMA,1/7,0.9501072586861202,,O
