func,n_runs,maxevals,mean,median,std,best,worst,elapsed_sec
f21,51,10000000,100.0000067733727,100.0,4.78949771372276e-05,100.0,100.00034544200389,677.8
f22,51,10000000,39.76057913303744,11.563057352644591,46.75101880822536,0.0,100.0,503.3
f23,51,10000000,286.0554845022631,304.1348851267521,62.76047662909679,4.547473508864641e-13,305.43779504742815,863.2
f24,51,10000000,103.33296974183284,100.00000000000227,46.10685500953733,3.001332515850663e-11,270.62424973175075,740.8
f25,51,10000000,345.5346933203129,397.7456708757909,98.89966110313263,100.00115743068,398.00898944057735,374.4
f26,51,10000000,183.9205500025072,200.0000000000091,80.10008050139975,3.183231456205249e-12,300.00000000000045,477.0
f27,51,10000000,381.4556659470036,389.00552651867747,53.946335647088894,1.2136476016166853e-05,389.7056798284466,644.3
f28,51,10000000,300.00000000000074,300.00000000000045,6.220267514164784e-13,300.0,300.00000000000455,429.4
f29,51,10000000,226.14560548582935,229.36868952151963,15.907098496410173,145.55730644334153,240.6238681487498,1752.8
f30,51,10000000,395.51429671904094,394.89041242270696,2.598819979052823,394.51415060055206,408.57537359991056,1022.9
