func,n_runs,maxevals,mean,median,std,best,worst,elapsed_sec
f21,51,400000,76.4705882352954,100.00000000000091,42.41825029957617,4.547473508864641e-13,100.00000000000273,80.6
f22,51,400000,1.8921935645131789,9.549694368615746e-12,4.418007010611746,2.7284841053187847e-12,15.560470321218872,84.8
f23,51,400000,128.59971459036404,100.00000000038654,120.61741201182902,3.183231456205249e-12,306.353387993649,87.6
f24,51,400000,23.529411764933005,3.4515323932282627e-10,42.418250299468525,5.2295945351943374e-11,100.00000000005684,84.2
f25,51,400000,98.04636507715277,100.00450429911916,13.865851381194673,1.1118572729174048e-09,100.02394573325955,80.0
f26,51,400000,27.45098039238017,2.2100721253082156e-10,68.82325009721376,7.73070496506989e-11,200.00000000049113,81.6
f27,51,400000,381.7029038639646,389.5179902401351,53.981802338810986,6.709183253406081e-06,389.95493776806325,93.3
f28,51,400000,27.4509803925432,4.0745362639427185e-10,65.91269142727329,8.321876521222293e-11,300.0000000000705,80.3
f29,51,400000,223.0033383223202,231.40931179257313,22.20742202220039,153.29893286830338,238.9202676964428,87.4
f30,51,400000,399.7394159172982,397.93111467668496,4.8240657679031855,394.51938985560446,413.04445884654706,109.4
