func,n_runs,maxevals,mean,median,std,best,worst,elapsed_sec
f21,51,600000,195.6734847155997,206.03951656062873,31.59461338374448,100.00000000000091,211.15182481850525,165.2
f22,51,600000,100.00000000007996,100.00000000008367,2.577647127902767e-11,100.0000000000332,100.00000000014188,165.2
f23,51,600000,353.4894469382848,358.6600858448046,35.947776462181245,100.00000000027512,364.3304506438699,176.2
f24,51,600000,428.5329720963559,428.33434343284716,1.9727028707752883,424.7130309832355,433.61866250151434,171.3
f25,51,600000,386.9585016211347,386.89606809962834,0.18022468527729313,386.77772350622536,387.9437758126842,158.0
f26,51,600000,215.6862745104818,200.0000000008081,36.36713135465681,200.00000000028876,300.0000000001919,164.9
f27,51,600000,499.2552227716512,499.0072482503556,4.792040170943819,483.8412993375209,507.42400181422227,167.1
f28,51,600000,306.49482376864256,300.0000000000023,26.008026336229776,300.0000000000009,413.9751657736415,173.2
f29,51,600000,435.6430669885191,429.37546043484554,55.28358221400098,339.9004748645716,667.9375697664518,169.2
f30,51,600000,2207.7163374645343,2214.4667217488523,116.86947259716113,1974.8845695411983,2459.85673793604,226.6
