suite,dimension,budget,class,function,algorithm,reference,n_algorithm,n_reference,U,theta_competitor_better,p_raw,p_holm,decision
cec2014,30,300000,basic,f1,ARRDE,MSC-CMA,51,51,0.0,1,2.7877502655e-20,7.52692571685e-19,competitor better
cec2014,30,300000,basic,f2,ARRDE,MSC-CMA,51,51,969.0,0.627450980392,0.000131639643845,0.000526558575378,competitor better
cec2014,30,300000,basic,f3,ARRDE,MSC-CMA,51,51,0.0,1,1.39058869614e-20,4.03270721881e-19,competitor better
cec2014,30,300000,basic,f4,ARRDE,MSC-CMA,51,51,0.0,1,1.34417479099e-20,4.03252437296e-19,competitor better
cec2014,30,300000,basic,f5,ARRDE,MSC-CMA,51,51,590.0,0.773164167628,2.01591593461e-06,1.00795796731e-05,competitor better
cec2014,30,300000,basic,f6,ARRDE,MSC-CMA,51,51,0.0,1,1.39058869614e-20,4.03270721881e-19,competitor better
cec2014,30,300000,basic,f7,ARRDE,MSC-CMA,51,51,1122.0,0.56862745098,0.00656187891481,0.0196856367444,competitor better
cec2014,30,300000,basic,f8,ARRDE,MSC-CMA,51,51,440.5,0.830642060746,8.28168283648e-09,5.79717798553e-08,competitor better
cec2014,30,300000,basic,f9,ARRDE,MSC-CMA,51,51,2445.0,0.0599769319493,1.76514793797e-14,1.58863314418e-13,reference better
cec2014,30,300000,basic,f10,ARRDE,MSC-CMA,51,51,114.0,0.956170703576,2.0361698334e-15,2.0361698334e-14,competitor better
cec2014,30,300000,basic,f11,ARRDE,MSC-CMA,51,51,2601.0,0,3.30368150167e-18,7.928835604e-17,reference better
cec2014,30,300000,basic,f12,ARRDE,MSC-CMA,51,51,2592.0,0.00346020761246,5.60728802499e-18,7.928835604e-17,reference better
cec2014,30,300000,basic,f13,ARRDE,MSC-CMA,51,51,0.0,1,3.30368150167e-18,7.928835604e-17,competitor better
cec2014,30,300000,basic,f14,ARRDE,MSC-CMA,51,51,1.0,0.999615532488,3.50431650512e-18,7.928835604e-17,competitor better
cec2014,30,300000,basic,f15,ARRDE,MSC-CMA,51,51,360.0,0.861591695502,3.15132997925e-10,2.5210639834e-09,competitor better
cec2014,30,300000,basic,f16,ARRDE,MSC-CMA,51,51,0.0,1,3.30368150167e-18,7.928835604e-17,competitor better
cec2014,30,300000,hybrid,f17,ARRDE,MSC-CMA,51,51,0.0,1,3.30368150167e-18,7.928835604e-17,competitor better
cec2014,30,300000,hybrid,f18,ARRDE,MSC-CMA,51,51,1.0,0.999615532488,3.50431650512e-18,7.928835604e-17,competitor better
cec2014,30,300000,hybrid,f19,ARRDE,MSC-CMA,51,51,0.0,1,3.30368150167e-18,7.928835604e-17,competitor better
cec2014,30,300000,hybrid,f20,ARRDE,MSC-CMA,51,51,0.0,1,3.30368150167e-18,7.928835604e-17,competitor better
cec2014,30,300000,hybrid,f21,ARRDE,MSC-CMA,51,51,0.0,1,3.30368150167e-18,7.928835604e-17,competitor better
cec2014,30,300000,hybrid,f22,ARRDE,MSC-CMA,51,51,1187.0,0.543637062668,0.449483776668,0.449483776668,n.s.
cec2014,30,300000,composition,f23,ARRDE,MSC-CMA,51,51,2520.0,0.0311418685121,8.07466428017e-19,2.09941271284e-17,reference better
cec2014,30,300000,composition,f24,ARRDE,MSC-CMA,51,51,2601.0,0,3.30368150167e-18,7.928835604e-17,reference better
cec2014,30,300000,composition,f25,ARRDE,MSC-CMA,51,51,44.0,0.98308342945,4.23141245824e-17,4.65455370406e-16,competitor better
cec2014,30,300000,composition,f26,ARRDE,MSC-CMA,51,51,0.0,1,3.30368150167e-18,7.928835604e-17,competitor better
cec2014,30,300000,composition,f27,ARRDE,MSC-CMA,51,51,0.0,1,1.17940062314e-18,2.94850155784e-17,competitor better
cec2014,30,300000,composition,f28,ARRDE,MSC-CMA,51,51,1582.0,0.391772395233,0.0600179940438,0.120035988088,n.s.
cec2014,30,300000,composition,f29,ARRDE,MSC-CMA,51,51,0.0,1,3.30368150167e-18,7.928835604e-17,competitor better
cec2014,30,300000,composition,f30,ARRDE,MSC-CMA,51,51,457.0,0.82429834679,1.68132696366e-08,1.0087961782e-07,competitor better
cec2014,30,300000,basic,f1,BIPOP-CMA,MSC-CMA,51,51,0.0,1,1.39058869614e-20,3.89810689386e-19,competitor better
cec2014,30,300000,basic,f2,BIPOP-CMA,MSC-CMA,51,51,969.0,0.627450980392,0.000131639643845,0.00131639643845,competitor better
cec2014,30,300000,basic,f3,BIPOP-CMA,MSC-CMA,51,51,0.0,1,1.39058869614e-20,3.89810689386e-19,competitor better
cec2014,30,300000,basic,f4,BIPOP-CMA,MSC-CMA,51,51,0.0,1,1.34417479099e-20,3.89810689386e-19,competitor better
cec2014,30,300000,basic,f5,BIPOP-CMA,MSC-CMA,51,51,817.0,0.685890042291,0.00122678791727,0.00981430333816,competitor better
cec2014,30,300000,basic,f6,BIPOP-CMA,MSC-CMA,51,51,149.0,0.942714340638,1.26269535435e-14,2.65166024414e-13,competitor better
