func,class,ic.h_max,disp.ratio_mean_05,ic.eps_s,nbc.costs_runtime,nbc.nn_nb.cor,disp.ratio_mean_25,disp.ratio_median_10,disp.diff_mean_25,disp.ratio_mean_02,nbc.nb_fitness.cor,disp.diff_median_05,disp.costs_runtime,disp.ratio_mean_10,disp.diff_median_25,nbc.nn_nb.mean_ratio,disp.diff_median_02,ic.eps_ratio,ic.costs_runtime,ic.m0,disp.diff_mean_02,disp.diff_mean_05,disp.diff_median_10,disp.ratio_median_25,nbc.nn_nb.sd_ratio,disp.diff_mean_10,nbc.dist_ratio.coeff_var,ic.eps_max,disp.ratio_median_02,disp.ratio_median_05
f1,basic,0.8384904052673329,0.7617786399053054,8.78712045378712,1.9694826666666667,0.7316086997499366,0.8711067539497724,0.8014752956533332,-32.686037878357155,0.712519584731159,-0.4365990620601908,-61.39036508121783,0.28283033333333335,0.8051577234072272,-33.02037224292738,0.9486577960365543,-74.8032228914225,8.1664998331665,6.170100333333334,0.5418703160638644,-72.90216173352044,-60.4105411024128,-50.472474603371005,0.8701201906029182,0.9612005052065689,-49.41005165972262,0.08474964544428898,80659187.55652495,0.705773863840211,0.7585319949290907
f2,basic,0.8697267769584788,0.9816796218693669,1.3530196863530188,2.0084553333333335,0.5112219225011355,0.9907955822102363,0.9831937541898977,-2.3341519667376267,0.984942081922159,-0.5904697557750823,-5.562996479912556,0.2857556666666667,0.9841862582771431,-2.4332953959190227,0.9023580795866873,-4.873921620364295,0.759092425759092,4.333388,0.6617790811339198,-3.8185263643075587,-4.64588094478798,-4.272832957248236,0.9904293362951525,0.6275452329079377,-4.0102199673743355,0.128276338543687,3.406449278152195,0.9808295973889347,0.9781189793837837
f3,basic,0.8600343660817428,0.6905918842020728,0.8124791458124787,1.9815036666666668,0.7539480650878342,0.8218504314851961,0.7449813048675608,-45.17694583837937,0.6354495847626457,-0.559208851146634,-77.82409045994265,0.2919133333333333,0.7412809300041134,-44.4179330257518,0.9556086696114288,-91.28308795486811,0.24524524524524513,4.163575333333333,0.5871619420006517,-92.44631333959065,-78.46279520276538,-64.83544091874553,0.8252898042487883,1.0261009398373264,-65.60856193643166,0.08079112414869344,1.0688837830666633,0.640954221961311,0.6938929654063615
f4,basic,0.8450381122955565,0.7184059681647522,4.8164831498164835,1.9718986666666665,0.696554450045726,0.8579472768350125,0.7724131981468213,-36.02314713462181,0.659487669413935,-0.5087063980560693,-71.2871322535195,0.291394,0.7720775870428226,-35.93900485042564,0.9459714488732044,-85.64391219202622,4.1891891891891895,5.15972,0.6234929944607365,-86.35051305377146,-71.40941822805276,-57.86117218557106,0.8586402161973218,0.9615347687738732,-57.798830090818534,0.09016827693595432,8258.400370931266,0.6631348809722682,0.7196045563011356
f5,hybrid,0.7735401411061454,0.9497490478200897,8.039706373039706,1.9971940000000001,0.5719547459165283,0.9735822511760311,0.9602622057845611,-6.6992752394911195,0.9327222250425758,-0.31871074292862733,-13.095702433651647,0.29422733333333334,0.9609708212450125,-6.852906361123909,0.9238474517312626,-17.46692227874185,7.258925592258923,5.9602113333333335,0.5724991854024113,-17.060968785907402,-12.743127244854017,-10.10297412886455,0.9730453319019596,0.7436676437313351,-9.897410631003547,0.11026238014709366,6808657.15982302,0.9312979522450622,0.9484904414010638
f6,hybrid,0.7505208273595155,0.894247064857303,2.640974307640974,2.0263333333333335,0.6395076504164109,0.9274556865862564,0.9006551127159103,-18.396511070623557,0.9004580041701753,-0.3217225692907438,-26.837633517306,0.30177899999999996,0.9015406100660015,-18.700292235076194,0.9309807686892985,-23.90444063370153,1.7667667667667668,4.6253736666666665,0.5177582274356468,-25.24281479367903,-26.817873643109333,-25.25732300518061,0.9264457289742284,0.7877419949313159,-24.968308074643858,0.09944415043544898,25.65491869538064,0.9059752817022027,0.8944395892958283
f7,hybrid,0.759630242010808,0.9429965522339571,8.173173173173172,2.006641333333333,0.574780538127757,0.9512228723565497,0.9507412576056602,-12.36939191977882,0.9135056708524988,-0.2953217103403502,-14.857006078974223,0.27715599999999996,0.9512341435030431,-12.523572305362402,0.9229759147766714,-23.121931847448195,7.379045712379045,5.965059666666666,0.5588139459107201,-21.934083125647152,-14.455502015065434,-12.52324585896639,0.9507406688877839,0.7289967517165278,-12.36653624752926,0.10945715119053255,11450605.51996591,0.909053933961545,0.9415610323247692
f8,composition,0.8637715918681051,0.7787541403819938,1.3797130463797123,1.977415,0.5726780644814236,0.9471862137248671,0.8584355048457645,-13.393036743712239,0.7171300075472674,-0.5849242033201044,-58.696328231350634,0.2783046666666667,0.8681763990510006,-13.989829047733252,0.9192128752063575,-77.11484919740934,0.779112445779112,4.326233333333334,0.644672531769306,-71.73300252848476,-56.10574391990818,-35.991072852398844,0.9449734530795973,0.744655898008194,-33.429140935685325,0.11278822853814068,3.4088252515197017,0.6966821285058846,0.7691285526738053
f9,composition,0.8238851628960712,0.8477667077776921,1.3063063063063056,2.012102,0.6726431145998388,0.9320612209267928,0.8818897735063776,-17.228594909523576,0.8035721835315445,-0.3965788462694421,-40.00446550101197,0.28498266666666666,0.8841914130019468,-17.62600943532284,0.930855065844089,-51.14728883008389,0.5321988655321986,4.288473,0.5347018572825024,-49.81217115401245,-38.60484745211753,-30.028141918137436,0.9306713307135746,0.814306855466056,-29.367905775179338,0.09800789485102838,1.8721665354564294,0.7988196041373894,0.8426486705066957
f10,composition,0.8335845673288255,0.7656287668530588,2.2005338672005337,1.9712333333333334,0.7278997239686783,0.8726009226441168,0.806623770376182,-32.307133482168894,0.6971624650457923,-0.443450594230192,-60.76477629177194,0.27738999999999997,0.8095293570846804,-32.56047501856917,0.9480545656272907,-79.33522377343682,1.5198531865198535,4.49895,0.5715216682958618,-76.79658450377049,-59.43421602376517,-49.16357398554214,0.8719288640602464,0.9661652490369553,-48.30144848799844,0.08580448030812145,16.59461406211616,0.6879505405640521,0.7609928631704607
