func,n_runs,maxevals,mean,median,std,best,worst,elapsed_sec
f1,51,1000000,2.7864421010200007e-16,0.0,1.9703121050149334e-15,0.0,1.4210854715202004e-14,143.6
f2,51,1000000,0.19347097635164912,0.24979796946627175,0.07943220196831502,4.547473508864641e-13,0.3746969541998624,128.0
f3,51,1000000,0.19663736981333296,0.033777788786210294,0.33859344051421136,0.0,1.284270061190341,133.4
f4,51,1000000,0.2292563154932324,0.2507090797937508,0.09774110357331443,0.0,0.40222852132274056,154.0
f5,51,1000000,0.002755815397079584,0.0,0.0061078010753866496,0.0,0.023778703841799143,137.9
f6,51,1000000,0.035477442028293664,0.009715938177123462,0.07228674450058782,3.4974618756677955e-09,0.5,117.9
f7,51,1000000,6.643857904789769e-08,6.787104211980477e-09,2.4884837311348207e-07,1.8553691916167736e-10,1.6879926079127472e-06,135.7
f8,51,1000000,1.6674069532503684e-12,1.3642420526593924e-12,9.16895106123901e-13,4.547473508864641e-13,4.547473508864641e-12,209.5
f9,51,1000000,4.8310218570644364e-11,4.001776687800884e-11,3.090558346714033e-11,6.821210263296962e-12,1.4870238373987377e-10,129.6
f10,51,1000000,6.241630306284801e-11,6.002665031701326e-11,3.1860178651633506e-11,1.000444171950221e-11,1.6325429896824062e-10,126.9
