suite,dimension,budget,scope,position_average,position_min,position_max,position_label,position_interval,tie_size,dense_group,algorithm,rank_sum2,mean_dsc_rank,k,n_functions,omnibus_method,omnibus_statistic,omnibus_p_value,omnibus_message,dsc_status,posthoc_control,posthoc_holm_p
cec2014,10,100000,all,1.0,1,1,1/3,1/3,1,1,CMAES-NBC,111,1.85,3,30,friedman,1.0500000000000043,0.5915553643668139,The null hypothesis is not rejected.,O,,
cec2014,10,100000,composition,1.0,1,1,1/3,1/3,1,1,MSC-CMA,25,1.5625,3,8,friedman,5.8125,0.054680397367914746,The null hypothesis is not rejected.,O,,
cec2014,30,300000,all,1.0,1,1,1/3,1/3,1,1,CMAES-NBC,92,1.5333333333333334,3,30,friedman,13.066666666666684,0.0014541505935435906,The null hypothesis is rejected.,↓,CMAES-NBC,
cec2014,30,300000,composition,1.0,1,1,1/3,1/3,1,1,CMAES-NBC,20,1.25,3,8,friedman,6.8125,0.03316533748891026,The null hypothesis is rejected.,↓,CMAES-NBC,
cec2017,10,100000,all,1.0,1,1,1/3,1/3,1,1,MSC-CMA,113,1.9482758620689655,3,29,friedman,0.32758620689656937,0.8489176418447857,The null hypothesis is not rejected.,O,,
cec2017,10,100000,composition,1.0,1,1,1/3,1/3,1,1,MSC-CMA,24,1.2,3,10,friedman,13.650000000000002,0.0010862759414638212,The null hypothesis is rejected.,★,MSC-CMA,
cec2017,30,300000,all,1.0,1,1,1/3,1/3,1,1,CMAES-NBC,83,1.4310344827586208,3,29,friedman,14.12068965517244,0.0008584820146482208,The null hypothesis is rejected.,↓,CMAES-NBC,
cec2017,30,300000,composition,1.0,1,1,1/3,1/3,1,1,CMAES-NBC,31,1.55,3,10,friedman,3.650000000000002,0.16121764412977668,The null hypothesis is not rejected.,O,,
cec2020,5,50000,all,1.0,1,1,1/3,1/3,1,1,BIPOP-CMA,34,1.7,3,10,friedman,2.599999999999998,0.2725317930340134,The null hypothesis is not rejected.,O,,
cec2020,5,50000,composition,1.0,1,1,1/3,1/3,1,1,MSC-CMA,6,1.0,3,3,friedman,6.0,0.04978706836786395,The null hypothesis is rejected.,★,MSC-CMA,
cec2020,10,1000000,all,1.0,1,1,1/3,1/3,1,1,MSC-CMA,36,1.8,3,10,friedman,1.399999999999988,0.4965853037914124,The null hypothesis is not rejected.,O,,
cec2020,10,1000000,composition,1.0,1,1,1/3,1/3,1,1,MSC-CMA,6,1.0,3,3,friedman,6.0,0.04978706836786395,The null hypothesis is rejected.,★,MSC-CMA,
cec2020,15,3000000,all,1.0,1,1,1/3,1/3,1,1,BIPOP-CMA,35,1.75,3,10,friedman,1.9500000000000028,0.3771923535631564,The null hypothesis is not rejected.,O,,
cec2020,15,3000000,composition,1.0,1,1,1/3,1/3,1,1,MSC-CMA,6,1.0,3,3,friedman,6.0,0.04978706836786395,The null hypothesis is rejected.,★,MSC-CMA,
cec2020,20,10000000,all,1.0,1,1,1/3,1/3,1,1,MSC-CMA,35,1.75,3,10,friedman,1.9500000000000028,0.3771923535631564,The null hypothesis is not rejected.,O,,
cec2020,20,10000000,composition,1.0,1,1,1/3,1/3,1,1,MSC-CMA,6,1.0,3,3,friedman,6.0,0.04978706836786395,The null hypothesis is rejected.,★,MSC-CMA,
cec2022,10,200000,all,1.0,1,1,1/3,1/3,1,1,CMAES-NBC,42,1.75,3,12,friedman,1.7916666666666643,0.4082672341468846,The null hypothesis is not rejected.,O,,
cec2022,10,200000,composition,1.0,1,1,1/3,1/3,1,1,MSC-CMA,12,1.5,3,4,friedman,1.625,0.4437473100810797,The null hypothesis is not rejected.,O,,
cec2022,20,1000000,all,1.0,1,1,1/3,1/3,1,1,MSC-CMA,43,1.7916666666666667,3,12,friedman,1.2916666666666714,0.5242255054454031,The null hypothesis is not rejected.,O,,
cec2022,20,1000000,composition,1.0,1,1,1/3,1/3,1,1,MSC-CMA,11,1.375,3,4,friedman,2.625,0.2691463487291842,The null hypothesis is not rejected.,O,,
