suite,dimension,budget,algorithm,payload_algorithm,function_id,n_runs,terminal_value_source,nfev_total_known,nfev_total_min,nfev_total_max,overrun_runs,max_budget_excess,source_path,source_sha256
cec2014,10,100000,MSC-CMA,MSC-CMA,1,51,pkl.errors,True,100000,100009,45,9,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f1.pkl,5d29f847fca5a5aebe007c50b58565d28a0e65ec67bb3e4ef210adaf67c85396
cec2014,10,100000,MSC-CMA,MSC-CMA,2,51,pkl.errors,True,96711,100009,33,9,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f2.pkl,1d279fce4cc403a070f9a51101ca7d2c03b3d1b2d4a437da43defece02794f2e
cec2014,10,100000,MSC-CMA,MSC-CMA,3,51,pkl.errors,True,95466,100009,17,9,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f3.pkl,2f003905886aa61a00575cd0d54982b03992219b464f2adb71c31c9a213fea26
cec2014,10,100000,MSC-CMA,MSC-CMA,4,51,pkl.errors,True,95093,100008,4,8,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f4.pkl,4b8ad33c290d2f4f8d3ab4dc4d0c5b008380d8ba5aa726650a909d6a4b61dc4c
cec2014,10,100000,MSC-CMA,MSC-CMA,5,51,pkl.errors,True,95239,100009,25,9,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f5.pkl,e8867d7a4aba355dba1d947b4e14114f7eed1552e2004467dbd276af8f01e7ed
cec2014,10,100000,MSC-CMA,MSC-CMA,6,51,pkl.errors,True,95968,100008,8,8,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f6.pkl,cccbd9e6e004b8def60dc5098c8c06f08bab2b951aed1cf1e69cf344dc619c82
cec2014,10,100000,MSC-CMA,MSC-CMA,7,51,pkl.errors,True,93962,99063,0,0,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f7.pkl,063f2454767b3577fac2e2118183ab531af1d34d68f257900c55c6b31aa6179b
cec2014,10,100000,MSC-CMA,MSC-CMA,8,51,pkl.errors,True,93639,98961,0,0,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f8.pkl,6084a353575a3b1f5416bbb01cc15d5f602cf66d94b4648ad79d6dbb350a3441
cec2014,10,100000,MSC-CMA,MSC-CMA,9,51,pkl.errors,True,95607,98528,0,0,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f9.pkl,ce6aebf993b319e8609a95f4136bfc0a101e26fbc00a7717a03e05bbff0e7db8
cec2014,10,100000,MSC-CMA,MSC-CMA,10,51,pkl.errors,True,94195,99850,0,0,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f10.pkl,b2ac4c58b464fcca9c81c9ce0814b3a0a35ff2a1f6017e7ba69984971a65fec8
cec2014,10,100000,MSC-CMA,MSC-CMA,11,51,pkl.errors,True,98129,100008,1,8,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f11.pkl,7189aea291b783169eb227d6d8632dcde5210914d16153b824ff5bb5de5813fb
cec2014,10,100000,MSC-CMA,MSC-CMA,12,51,pkl.errors,True,100000,100009,46,9,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f12.pkl,8e9f4a876fd7a268e3dbfd83ea65de725324389095512d7afb76cbc1c9e894dc
cec2014,10,100000,MSC-CMA,MSC-CMA,13,51,pkl.errors,True,100000,100009,47,9,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f13.pkl,d0a5d7c65ce9e3795a35ff3015730c292823613556686e6c2540a7108aa64448
cec2014,10,100000,MSC-CMA,MSC-CMA,14,51,pkl.errors,True,100000,100009,47,9,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f14.pkl,19cdae1da67e77de05627de2ab00801c8a0afce651c2bb613fe103aefd0c310b
cec2014,10,100000,MSC-CMA,MSC-CMA,15,51,pkl.errors,True,96198,100009,11,9,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f15.pkl,31cd98561fc8aef5cbd095e12a795279717437e9ced9d3ec57a462b3820319d9
cec2014,10,100000,MSC-CMA,MSC-CMA,16,51,pkl.errors,True,94885,100009,18,9,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f16.pkl,72e666c1d05cb80358b6c788a8eb5f7346f64c937631ad440857522b70dc669d
cec2014,10,100000,MSC-CMA,MSC-CMA,17,51,pkl.errors,True,99774,100009,44,9,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f17.pkl,3fff2f2c5cd00aadf626af9dfc6a721f8cd49b9fc82f00d07c7d72d222d593c5
cec2014,10,100000,MSC-CMA,MSC-CMA,18,51,pkl.errors,True,100000,100009,47,9,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f18.pkl,149d3e7bf5d9c50d8cd97750621be130702cb2cac8dbcd071207350660171092
cec2014,10,100000,MSC-CMA,MSC-CMA,19,51,pkl.errors,True,100000,100009,46,9,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f19.pkl,d7a38b9f7dfbcb34bb8314d3aa27d3c59eba47fdb21255f9bd857522567b4e2c
cec2014,10,100000,MSC-CMA,MSC-CMA,20,51,pkl.errors,True,100000,100009,49,9,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f20.pkl,0cbbbfca1a5a46a1440980813323cb2d51da937307dc2499d8d5c6f00fd0af27
cec2014,10,100000,MSC-CMA,MSC-CMA,21,51,pkl.errors,True,100000,100009,41,9,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f21.pkl,e32e1996676eea5c0bf8f8ac6bfb38d1c55981ebf491be87a80ab3170222568c
cec2014,10,100000,MSC-CMA,MSC-CMA,22,51,pkl.errors,True,100000,100009,50,9,/home/svety/cma_es_project/experiments/cec2014/d10/MSC-CMA/maxevals_100000/f22.pkl,021f696366c8ff5ab222c9bd84ae0b997043c7fb5aeaba3a7f85c7c6f17ac4b6
