suite,dimension,budget,function_id,problem,algorithm,dsc_rank,dsc_rank2
cec2020,10,1000000,1,F1_10D,MSC-CMA,3.0,6
cec2020,10,1000000,1,F1_10D,CMAES-NBC,1.5,3
cec2020,10,1000000,1,F1_10D,BIPOP-CMA,1.5,3
cec2020,10,1000000,2,F2_10D,MSC-CMA,1.0,2
cec2020,10,1000000,2,F2_10D,CMAES-NBC,3.0,6
cec2020,10,1000000,2,F2_10D,BIPOP-CMA,2.0,4
cec2020,10,1000000,3,F3_10D,MSC-CMA,1.0,2
cec2020,10,1000000,3,F3_10D,CMAES-NBC,3.0,6
cec2020,10,1000000,3,F3_10D,BIPOP-CMA,2.0,4
cec2020,10,1000000,4,F4_10D,MSC-CMA,3.0,6
cec2020,10,1000000,4,F4_10D,CMAES-NBC,2.0,4
cec2020,10,1000000,4,F4_10D,BIPOP-CMA,1.0,2
cec2020,10,1000000,5,F5_10D,MSC-CMA,1.0,2
cec2020,10,1000000,5,F5_10D,CMAES-NBC,2.0,4
cec2020,10,1000000,5,F5_10D,BIPOP-CMA,3.0,6
cec2020,10,1000000,6,F6_10D,MSC-CMA,3.0,6
cec2020,10,1000000,6,F6_10D,CMAES-NBC,1.0,2
cec2020,10,1000000,6,F6_10D,BIPOP-CMA,2.0,4
cec2020,10,1000000,7,F7_10D,MSC-CMA,3.0,6
cec2020,10,1000000,7,F7_10D,CMAES-NBC,1.5,3
cec2020,10,1000000,7,F7_10D,BIPOP-CMA,1.5,3
cec2020,10,1000000,8,F8_10D,MSC-CMA,1.0,2
cec2020,10,1000000,8,F8_10D,CMAES-NBC,3.0,6
cec2020,10,1000000,8,F8_10D,BIPOP-CMA,2.0,4
cec2020,10,1000000,9,F9_10D,MSC-CMA,1.0,2
cec2020,10,1000000,9,F9_10D,CMAES-NBC,3.0,6
cec2020,10,1000000,9,F9_10D,BIPOP-CMA,2.0,4
cec2020,10,1000000,10,F10_10D,MSC-CMA,1.0,2
cec2020,10,1000000,10,F10_10D,CMAES-NBC,3.0,6
cec2020,10,1000000,10,F10_10D,BIPOP-CMA,2.0,4
