suite,dimension,budget,comparison_scope,function,function_class,competitor,reference,n_competitor,n_reference,u_competitor,probability_competitor_lower,mean_rank_competitor,mean_rank_msc,median_competitor,median_msc,p_raw,test_family_size,correction,p_holm,alpha,mwu_symbol
cec2014,10,100000,all,1,basic,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,0,0,1.3905886961424435e-20,30,holm-bonferroni,4.0327072188130864e-19,0.05,>
cec2014,10,100000,all,2,basic,CMAES-NBC,MSC-CMA,51,51,102,0.96078431372549022,28,75,0,0,2.4951114593373185e-18,30,holm-bonferroni,6.4872897942770274e-17,0.05,>
cec2014,10,100000,all,3,basic,CMAES-NBC,MSC-CMA,51,51,688.5,0.73529411764705888,39.5,63.5,0,0,3.2510433460501254e-08,30,holm-bonferroni,4.2263563498651632e-07,0.05,>
cec2014,10,100000,all,4,basic,CMAES-NBC,MSC-CMA,51,51,2601,0,77,26,34.780274874720597,0,7.3466269573304314e-21,30,holm-bonferroni,2.2039880871991292e-19,0.05,<
cec2014,10,100000,all,5,basic,CMAES-NBC,MSC-CMA,51,51,1709,0.34294502114571324,59.509803921568626,43.490196078431367,20.3327327548296,19.999999999848228,0.0063162622412368044,30,holm-bonferroni,0.026284186695444363,0.05,<
cec2014,10,100000,all,6,basic,CMAES-NBC,MSC-CMA,51,51,3,0.99884659746251436,26.058823529411764,76.941176470588232,0,3.5627060884156663,1.0975611929894271e-19,30,holm-bonferroni,2.9634152210714532e-18,0.05,>
cec2014,10,100000,all,7,basic,CMAES-NBC,MSC-CMA,51,51,229.5,0.91176470588235292,30.5,72.5,0,0.0098572846078468501,9.4413504478555457e-16,30,holm-bonferroni,1.7938565850925537e-14,0.05,>
cec2014,10,100000,all,8,basic,CMAES-NBC,MSC-CMA,51,51,2089,0.19684736639753941,66.960784313725497,36.03921568627451,3.9798311905541399,1.9899181141865938,9.9875390788589472e-08,30,holm-bonferroni,1.1985046894630738e-06,0.05,<
cec2014,10,100000,all,9,basic,CMAES-NBC,MSC-CMA,51,51,584,0.77547097270280663,37.450980392156865,65.549019607843135,0,0.99495905709329691,1.2582641095355402e-07,30,holm-bonferroni,1.3840905204890941e-06,0.05,>
cec2014,10,100000,all,10,basic,CMAES-NBC,MSC-CMA,51,51,1777,0.31680123029604002,60.843137254901961,42.156862745098039,48.801642490739098,25.772814150715021,0.001443854382840036,30,holm-bonferroni,0.0086631262970402155,0.05,<
cec2014,10,100000,all,11,basic,CMAES-NBC,MSC-CMA,51,51,1321,0.49211841599384853,51.901960784313729,51.098039215686271,11.9544340613375,11.891979620299935,0.89351491673956662,30,holm-bonferroni,0.89896755333666101,0.05,=
cec2014,10,100000,all,12,basic,CMAES-NBC,MSC-CMA,51,51,2601,0,77,26,1.07909805933741,0.033245797464587667,3.3036815016661564e-18,30,holm-bonferroni,8.2592037541653907e-17,0.05,<
cec2014,10,100000,all,13,basic,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,0.029474548492089501,0.38125948453671299,3.3036815016661564e-18,30,holm-bonferroni,8.2592037541653907e-17,0.05,>
cec2014,10,100000,all,14,basic,CMAES-NBC,MSC-CMA,51,51,2570,0.011918492887351029,76.392156862745097,26.607843137254903,0.46394101154942302,0.241933362851114,2.0129124775851485e-17,30,holm-bonferroni,4.227116202928812e-16,0.05,<
cec2014,10,100000,all,15,basic,CMAES-NBC,MSC-CMA,51,51,968,0.62783544790465207,44.980392156862749,58.019607843137258,0.87503812108275303,0.94618901446119708,0.026284735828375944,30,holm-bonferroni,0.078854207485127836,0.05,=
cec2014,10,100000,all,16,basic,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,1.3668875185937801,3.2060587512919483,3.3036815016661564e-18,30,holm-bonferroni,8.2592037541653907e-17,0.05,>
cec2014,10,100000,all,17,hybrid,CMAES-NBC,MSC-CMA,51,51,1414,0.45636293733179545,53.725490196078432,49.274509803921568,11.381098068819901,5.9697493047444823,0.4494837766683305,30,holm-bonferroni,0.89896755333666101,0.05,=
cec2014,10,100000,all,18,hybrid,CMAES-NBC,MSC-CMA,51,51,718,0.72395232602845061,40.078431372549019,62.921568627450981,0.32815133091707999,0.45894903967587197,9.8135681376485434e-05,30,holm-bonferroni,0.00078508545101188348,0.05,>
cec2014,10,100000,all,19,hybrid,CMAES-NBC,MSC-CMA,51,51,256,0.90157631680123029,31.019607843137255,71.980392156862735,0.94506838639313195,1.6454063105700243,2.8045340258353497e-12,30,holm-bonferroni,4.7677078439200946e-11,0.05,>
cec2014,10,100000,all,20,hybrid,CMAES-NBC,MSC-CMA,51,51,384,0.85236447520184544,33.529411764705884,69.470588235294116,0.63166447323078501,1.2849718874979317,8.7592346211435359e-10,30,holm-bonferroni,1.3138851931715304e-08,0.05,>
cec2014,10,100000,all,21,hybrid,CMAES-NBC,MSC-CMA,51,51,449,0.82737408688965786,34.803921568627452,68.196078431372541,0.70706791431166505,1.4266696846566447,1.2301524996191355e-08,30,holm-bonferroni,1.7222134994667897e-07,0.05,>
