suite,dimension,budget,comparison_scope,n_functions,n_lt,n_gt,n_eq
cec2014,10,100000,all,30,10,17,3
cec2014,10,100000,composition,8,3,5,0
cec2014,30,300000,all,30,4,25,1
cec2014,30,300000,composition,8,0,8,0
cec2017,10,100000,all,29,8,17,4
cec2017,10,100000,composition,10,8,2,0
cec2017,30,300000,all,29,5,23,1
cec2017,30,300000,composition,10,3,7,0
cec2020,5,50000,all,10,3,3,4
cec2020,5,50000,composition,3,2,1,0
cec2020,10,1000000,all,10,4,4,2
cec2020,10,1000000,composition,3,3,0,0
cec2020,15,3000000,all,10,5,5,0
cec2020,15,3000000,composition,3,3,0,0
cec2020,20,10000000,all,10,5,4,1
cec2020,20,10000000,composition,3,3,0,0
cec2022,10,200000,all,12,3,7,2
cec2022,10,200000,composition,4,2,2,0
cec2022,20,1000000,all,12,4,5,3
cec2022,20,1000000,composition,4,3,1,0
