suite,dimension,budget,opponent,n_functions,conly_better,opponent_better,not_significant
cec2014,10,100000,MSC-CMA,8,2,5,1
cec2014,10,100000,ARRDE,8,1,6,1
cec2014,10,100000,BIPOP-CMA,8,3,2,3
cec2014,10,100000,LSRTDE,8,3,4,1
cec2014,10,100000,NLSHADE-RSP,8,0,4,4
cec2014,10,100000,j2020,8,2,1,5
cec2014,10,100000,jSO,8,1,6,1
cec2017,10,100000,MSC-CMA,10,3,2,5
cec2017,10,100000,ARRDE,10,5,3,2
cec2017,10,100000,BIPOP-CMA,10,7,1,2
cec2017,10,100000,LSRTDE,10,5,2,3
cec2017,10,100000,NLSHADE-RSP,10,4,3,3
cec2017,10,100000,j2020,10,8,1,1
cec2017,10,100000,jSO,10,5,3,2
cec2017,10,100000,NEA2PLUS-PY,10,7,1,2
cec2020,5,50000,MSC-CMA,3,2,1,0
cec2020,5,50000,ARRDE,3,1,1,1
cec2020,5,50000,BIPOP-CMA,3,2,1,0
cec2020,5,50000,LSRTDE,3,2,1,0
cec2020,5,50000,NLSHADE-RSP,3,1,2,0
cec2020,5,50000,j2020,3,2,1,0
cec2020,5,50000,jSO,3,2,1,0
cec2020,5,50000,NEA2PLUS-PY,3,2,0,1
cec2020,10,1000000,MSC-CMA,3,0,0,3
cec2020,10,1000000,ARRDE,3,2,0,1
cec2020,10,1000000,BIPOP-CMA,3,3,0,0
cec2020,10,1000000,LSRTDE,3,3,0,0
cec2020,10,1000000,NLSHADE-RSP,3,2,0,1
cec2020,10,1000000,j2020,3,2,0,1
cec2020,10,1000000,jSO,3,3,0,0
cec2020,10,1000000,NEA2PLUS-PY,3,3,0,0
cec2020,15,3000000,MSC-CMA,3,0,1,2
cec2020,15,3000000,ARRDE,3,2,1,0
cec2020,15,3000000,BIPOP-CMA,3,2,0,1
cec2020,15,3000000,LSRTDE,3,3,0,0
cec2020,15,3000000,NLSHADE-RSP,3,1,1,1
cec2020,15,3000000,j2020,3,1,2,0
cec2020,15,3000000,jSO,3,3,0,0
cec2020,15,3000000,NEA2PLUS-PY,3,3,0,0
cec2020,20,10000000,MSC-CMA,3,1,0,2
cec2020,20,10000000,ARRDE,3,1,2,0
cec2020,20,10000000,BIPOP-CMA,3,3,0,0
cec2020,20,10000000,LSRTDE,3,3,0,0
cec2020,20,10000000,NLSHADE-RSP,3,1,1,1
cec2020,20,10000000,j2020,3,2,1,0
cec2020,20,10000000,jSO,3,3,0,0
cec2022,10,200000,MSC-CMA,4,1,2,1
cec2022,10,200000,ARRDE,4,1,3,0
cec2022,10,200000,BIPOP-CMA,4,1,2,1
cec2022,10,200000,LSRTDE,4,1,1,2
cec2022,10,200000,NLSHADE-RSP,4,1,3,0
cec2022,10,200000,j2020,4,1,3,0
cec2022,10,200000,jSO,4,1,1,2
cec2022,10,200000,NEA2PLUS-PY,4,2,1,1
cec2022,20,1000000,MSC-CMA,4,0,2,2
cec2022,20,1000000,ARRDE,4,0,3,1
cec2022,20,1000000,BIPOP-CMA,4,0,2,2
cec2022,20,1000000,LSRTDE,4,1,2,1
cec2022,20,1000000,NLSHADE-RSP,4,2,1,1
cec2022,20,1000000,j2020,4,2,1,1
cec2022,20,1000000,jSO,4,1,2,1
cec2022,20,1000000,NEA2PLUS-PY,4,2,1,1
