suite,dimension,budget,scope,position_average,position_min,position_max,position_label,position_interval,tie_size,dense_group,algorithm,rank_sum2,mean_dsc_rank,k,n_functions,omnibus_method,omnibus_statistic,omnibus_p_value,omnibus_message,dsc_status,posthoc_control,posthoc_holm_p
cec2017,10,100000,all,1.0,1,1,1/3,1/3,1,1,MSC-CMA,96,1.6551724137931034,3,29,friedman,15.103448275862096,0.0005252038222118838,The null hypothesis is rejected.,★,MSC-CMA,
cec2017,10,100000,all,2.0,2,2,2/3,2/3,1,2,BIPOP-CMA,102,1.7586206896551724,3,29,friedman,15.103448275862096,0.0005252038222118838,The null hypothesis is rejected.,★,MSC-CMA,0.34682031089187926
cec2017,10,100000,all,3.0,3,3,3/3,3/3,1,3,NEA2PLUS-PY,150,2.586206896551724,3,29,friedman,15.103448275862096,0.0005252038222118838,The null hypothesis is rejected.,★,MSC-CMA,0.00039220562227905854
cec2017,10,100000,composition,1.0,1,1,1/3,1/3,1,1,MSC-CMA,23,1.15,3,10,friedman,10.950000000000006,0.0041902285499845204,The null hypothesis is rejected.,★,MSC-CMA,
cec2017,10,100000,composition,2.0,2,2,2/3,2/3,1,2,NEA2PLUS-PY,47,2.35,3,10,friedman,10.950000000000006,0.0041902285499845204,The null hypothesis is rejected.,★,MSC-CMA,0.0036451790457678185
cec2017,10,100000,composition,3.0,3,3,3/3,3/3,1,3,BIPOP-CMA,50,2.5,3,10,friedman,10.950000000000006,0.0041902285499845204,The null hypothesis is rejected.,★,MSC-CMA,0.0025386867381503478
cec2020,5,50000,all,1.0,1,1,1/3,1/3,1,1,MSC-CMA,38,1.9,3,10,friedman,0.3500000000000014,0.8394570207692068,The null hypothesis is not rejected.,O,,
cec2020,5,50000,all,2.0,2,2,2/3,2/3,1,2,BIPOP-CMA,39,1.95,3,10,friedman,0.3500000000000014,0.8394570207692068,The null hypothesis is not rejected.,O,,
cec2020,5,50000,all,3.0,3,3,3/3,3/3,1,3,NEA2PLUS-PY,43,2.15,3,10,friedman,0.3500000000000014,0.8394570207692068,The null hypothesis is not rejected.,O,,
cec2020,5,50000,composition,1.0,1,1,1/3,1/3,1,1,MSC-CMA,6,1.0,3,3,friedman,4.666666666666671,0.09697196786440487,The null hypothesis is not rejected.,O,,
cec2020,5,50000,composition,2.0,2,2,2/3,2/3,1,2,NEA2PLUS-PY,14,2.3333333333333335,3,3,friedman,4.666666666666671,0.09697196786440487,The null hypothesis is not rejected.,O,,
cec2020,5,50000,composition,3.0,3,3,3/3,3/3,1,3,BIPOP-CMA,16,2.6666666666666665,3,3,friedman,4.666666666666671,0.09697196786440487,The null hypothesis is not rejected.,O,,
cec2020,10,1000000,all,1.0,1,1,1/3,1/3,1,1,MSC-CMA,34,1.7,3,10,friedman,1.4000000000000057,0.4965853037914081,The null hypothesis is not rejected.,O,,
cec2020,10,1000000,all,2.0,2,2,2/3,2/3,1,2,BIPOP-CMA,42,2.1,3,10,friedman,1.4000000000000057,0.4965853037914081,The null hypothesis is not rejected.,O,,
cec2020,10,1000000,all,3.0,3,3,3/3,3/3,1,3,NEA2PLUS-PY,44,2.2,3,10,friedman,1.4000000000000057,0.4965853037914081,The null hypothesis is not rejected.,O,,
cec2020,10,1000000,composition,1.0,1,1,1/3,1/3,1,1,MSC-CMA,7,1.1666666666666667,3,3,friedman,5.166666666666664,0.07552184450877386,The null hypothesis is not rejected.,O,,
cec2020,10,1000000,composition,2.0,2,2,2/3,2/3,1,2,NEA2PLUS-PY,11,1.8333333333333333,3,3,friedman,5.166666666666664,0.07552184450877386,The null hypothesis is not rejected.,O,,
cec2020,10,1000000,composition,3.0,3,3,3/3,3/3,1,3,BIPOP-CMA,18,3.0,3,3,friedman,5.166666666666664,0.07552184450877386,The null hypothesis is not rejected.,O,,
cec2020,15,3000000,all,1.0,1,1,1/3,1/3,1,1,MSC-CMA,34,1.7,3,10,friedman,2.599999999999998,0.2725317930340134,The null hypothesis is not rejected.,O,,
cec2020,15,3000000,all,2.0,2,2,2/3,2/3,1,2,BIPOP-CMA,38,1.9,3,10,friedman,2.599999999999998,0.2725317930340134,The null hypothesis is not rejected.,O,,
cec2020,15,3000000,all,3.0,3,3,3/3,3/3,1,3,NEA2PLUS-PY,48,2.4,3,10,friedman,2.599999999999998,0.2725317930340134,The null hypothesis is not rejected.,O,,
cec2020,15,3000000,composition,1.0,1,1,1/3,1/3,1,1,MSC-CMA,6,1.0,3,3,friedman,6.0,0.04978706836786395,The null hypothesis is rejected.,★,MSC-CMA,
cec2020,15,3000000,composition,2.0,2,2,2/3,2/3,1,2,NEA2PLUS-PY,12,2.0,3,3,friedman,6.0,0.04978706836786395,The null hypothesis is rejected.,★,MSC-CMA,0.11033568095992352
cec2020,15,3000000,composition,3.0,3,3,3/3,3/3,1,3,BIPOP-CMA,18,3.0,3,3,friedman,6.0,0.04978706836786395,The null hypothesis is rejected.,★,MSC-CMA,0.014305878435429662
cec2022,10,200000,all,1.0,1,1,1/3,1/3,1,1,BIPOP-CMA,41,1.7083333333333333,3,12,friedman,3.291666666666643,0.19285178599107478,The null hypothesis is not rejected.,O,,
cec2022,10,200000,all,2.0,2,2,2/3,2/3,1,2,MSC-CMA,45,1.875,3,12,friedman,3.291666666666643,0.19285178599107478,The null hypothesis is not rejected.,O,,
cec2022,10,200000,all,3.0,3,3,3/3,3/3,1,3,NEA2PLUS-PY,58,2.4166666666666665,3,12,friedman,3.291666666666643,0.19285178599107478,The null hypothesis is not rejected.,O,,
cec2022,10,200000,composition,1.0,1,1,1/3,1/3,1,1,MSC-CMA,14,1.75,3,4,friedman,0.5,0.7788007830714049,The null hypothesis is not rejected.,O,,
cec2022,10,200000,composition,2.0,2,2,2/3,2/3,1,2,BIPOP-CMA,16,2.0,3,4,friedman,0.5,0.7788007830714049,The null hypothesis is not rejected.,O,,
cec2022,10,200000,composition,3.0,3,3,3/3,3/3,1,3,NEA2PLUS-PY,18,2.25,3,4,friedman,0.5,0.7788007830714049,The null hypothesis is not rejected.,O,,
cec2022,20,1000000,all,1.0,1,1,1/3,1/3,1,1,MSC-CMA,37,1.5416666666666667,3,12,friedman,6.7916666666666785,0.03351261535312977,The null hypothesis is rejected.,★,MSC-CMA,
