suite,dimension,budget,comparison_scope,function,function_class,competitor,reference,n_competitor,n_reference,u_competitor,probability_nea2plus_lower,mean_rank_nea2plus,mean_rank_msc,median_nea2plus,median_msc,p_raw,test_family_size,correction,p_holm,alpha,mwu_symbol
cec2017,10,100000,all,1,basic,NEA2PLUS-PY,MSC-CMA,51,51,150,0.94232987312572092,28.941176470588236,74.058823529411768,0,2.3741932864140836e-08,1.3971975970711447e-14,29,holm-bonferroni,2.9341149538494037e-13,0.05,>
cec2017,10,100000,all,3,basic,NEA2PLUS-PY,MSC-CMA,51,51,2601,0,77,26,0,0,6.2530376797473677e-19,29,holm-bonferroni,1.8133809271267367e-17,0.05,<
cec2017,10,100000,all,4,basic,NEA2PLUS-PY,MSC-CMA,51,51,2277,0.12456747404844293,70.64705882352942,32.352941176470587,0,0,4.5430410781003761e-11,29,holm-bonferroni,6.8145616171505643e-10,0.05,<
cec2017,10,100000,all,5,basic,NEA2PLUS-PY,MSC-CMA,51,51,2556,0.01730103806228378,76.117647058823536,26.882352941176471,4.9747952861860654,1.9899181141865938,3.7239140050757699e-17,29,holm-bonferroni,9.6821764131970021e-16,0.05,<
cec2017,10,100000,all,6,basic,NEA2PLUS-PY,MSC-CMA,51,51,223,0.91426374471357175,30.372549019607842,72.627450980392155,0.00010284844699981477,0.0054526571231008347,5.6760538273943613e-13,29,holm-bonferroni,1.0784502272049286e-11,0.05,>
cec2017,10,100000,all,7,basic,NEA2PLUS-PY,MSC-CMA,51,51,1470,0.43483275663206455,54.82352941176471,48.17647058823529,9.9785657442644151,11.255435098558905,0.25802666500063254,29,holm-bonferroni,1,0.05,=
cec2017,10,100000,all,8,basic,NEA2PLUS-PY,MSC-CMA,51,51,2592,0.0034602076124568004,76.823529411764696,26.176470588235293,3.9798362302707346,0.99495905709329691,3.8822293034929846e-18,29,holm-bonferroni,1.0482019119431058e-16,0.05,<
cec2017,10,100000,all,9,basic,NEA2PLUS-PY,MSC-CMA,51,51,1683,0.3529411764705882,59,44,0,0,0.0099757915585783671,29,holm-bonferroni,0.059854749351470199,0.05,=
cec2017,10,100000,all,10,basic,NEA2PLUS-PY,MSC-CMA,51,51,2335,0.10226835832372161,71.784313725490193,31.215686274509803,236.61385264227602,18.534537672567239,4.505061803290598e-12,29,holm-bonferroni,8.1091112459230769e-11,0.05,<
cec2017,10,100000,all,11,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,2601,0,77,26,4.9747902504379908,0,2.9887164630571024e-18,29,holm-bonferroni,8.3684060965598863e-17,0.05,<
cec2017,10,100000,all,12,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,1857,0.28604382929642447,62.411764705882355,40.588235294117645,168.41132269731656,129.6114397674753,0.00019832129594618024,29,holm-bonferroni,0.0017848916635156223,0.05,<
cec2017,10,100000,all,13,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,1861,0.28450595924644373,62.490196078431374,40.509803921568626,9.0835685599761291,6.525558370929275,0.00017830986678125607,29,holm-bonferroni,0.0017830986678125608,0.05,<
cec2017,10,100000,all,14,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,2534,0.025759323337178008,75.686274509803923,27.313725490196077,23.785176215100137,0.99572440905853909,1.5562448484555061e-16,29,holm-bonferroni,3.8906121211387648e-15,0.05,<
cec2017,10,100000,all,15,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,2237,0.13994617454825065,69.862745098039213,33.137254901960787,4.9896195463761615,1.6389835030211088,3.7432591712677083e-10,29,holm-bonferroni,4.8662369226480205e-09,0.05,<
cec2017,10,100000,all,16,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,1440,0.44636678200692037,54.235294117647058,48.764705882352942,1.9130540042119719,1.85164876491217,0.35222285866216063,29,holm-bonferroni,1,0.05,=
cec2017,10,100000,all,17,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,2280,0.12341407151095729,70.705882352941174,32.294117647058826,29.057146789527224,21.36945826367446,5.6710545928244766e-11,29,holm-bonferroni,7.9394764299542672e-10,0.05,<
cec2017,10,100000,all,18,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,1308,0.49711649365628607,51.647058823529413,51.352941176470587,20.99916653391665,20.590704395655848,0.96263361427289285,29,holm-bonferroni,1,0.05,=
cec2017,10,100000,all,19,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,1846,0.29027297193387158,62.196078431372548,40.803921568627452,3.5098840192708849,2.4489783865108166,0.00026477803957035488,29,holm-bonferroni,0.002118224316562839,0.05,<
